,words,count
1811,spot,1
1812,spread,2
1813,spring,5
1814,sq,4
1815,square,6
1816,squeaky,2
1817,squeeze,1
1818,stable,1
1819,stain,5
1820,stair,3
1821,stand,12
1822,standard,4
1823,start,22
1824,state,7
1825,states,1
1826,station,2
1827,stay,11
1828,steal,50
1829,stealhow,1
1830,steam,1
1831,steel,3
1832,steelaluminum,1
1833,steep,47
1834,steer,1
1835,step,2
1836,sterno,2
1837,stewart,1
1838,stick,4
1839,still,73
1840,stitch,1
1841,stock,5
1842,stool,6
1843,stop,7
1844,storage,7
1845,store,20
1846,story,3
1847,straight,2
1848,strap,8
1849,street,8
1850,strenuous,1
1851,stress,1
1852,stretch,1
1853,strict,4
1854,strike,1
1855,strip,1
1856,stroke,1
1857,strong,2
1858,structure,3
1859,struggle,2
1860,student,19
1861,studentcan,1
1862,studio,6
1863,study,1
1864,stuff,4
1865,stupidly,1
1866,sturdy,10
1867,style,10
1868,stylish,3
1869,sub,3
1870,subject,1
1871,submit,1
1872,subtracted,1
1873,subways,1
1874,subwoof,3
1875,success,1
1876,suffer,1
1877,suggest,2
1878,suit,5
1879,sum,1
1880,summer,5
1881,sun,7
1882,super,9
1883,support,1
1884,suppose,4
1885,sure,95
1886,surecould,1
1887,surface,2
1888,surprise,1
1889,surround,1
1890,suspense,1
1891,swear,2
1892,sweat,1
1893,sweet,7
1894,sweeter,3
1895,swim,2
1896,swing,6
1897,switch,2
1898,synthet,1
1899,system,7
1900,ta,3
1901,table,70
1902,tabletop,1
1903,tack,2
1904,tag,6
1905,tail,2
1906,tailgat,1
1907,take,519
1908,takenumb,3
1909,talent,1
1910,talk,14
1911,tall,2
1912,taller,2
1913,tank,1
1914,tape,1
1915,target,2
1916,task,1
1917,tax,1
1918,tea,1
1919,teach,2
1920,tear,11
1921,tears,1
1922,technology,1
1923,teenage,2
1924,teeth,1
1925,tektronix,1
1926,tell,52
1927,ten,1
1928,tenant,7
1929,tendency,1
1930,tender,4
1931,tent,2
1932,term,4
1933,terrify,1
1934,test,13
1935,text,1
1936,than,2
1937,thank,66
1938,thankyou,1
1939,that,191
1940,the,4
1941,theater,2
1942,them,1
1943,theme,3
1944,there,15
1945,therein,1
1946,therewould,1
1947,thermostat,1
1948,thestruggleisr,1
1949,they,19
1950,thick,1
1951,thicker,1
1952,thing,36
1953,things,1
1954,think,223
1955,thinner,1
1956,third,1
1957,thirty,1
1958,thoroughly,1
1959,those,1
1960,thou,1
1961,though,68
1962,thousand,1
1963,thread,1
1964,three,6
1965,threebedroom,1
1966,throughout,1
1967,throw,47
1968,ti,2
1969,ticket,1
1970,tight,39
1971,tighter,1
1972,tile,3
1973,till,10
1974,time,47
1975,times,3
1976,tinge,1
1977,tiptoe,1
1978,tire,40
1979,tireless,1
1980,titanic,1
1981,to,33
1982,today,254
1983,together,2
1984,toil,3
1985,toller,1
1986,tomorrow,17
1987,ton,5
1988,tone,1
1989,tonight,25
1990,tooth,1
1991,top,10
1992,topic,2
1993,torelli,1
1994,toss,1
1995,total,13
1996,touch,3
1997,tour,2
1998,toward,7
1999,town,11
2000,townhom,3
2001,townhous,1
2002,trace,3
2003,track,2
2004,trade,14
2005,traffic,1
2006,trail,1
2007,train,4
2008,traitor,1
2009,transit,1
2010,transmit,5
2011,transport,7
2012,trash,2
2013,travel,2
2014,tread,1
2015,treat,1
2016,tree,5
2017,trick,2
2018,trim,1
2019,trip,3
2020,trouble,1
2021,truck,42
2022,true,4
2023,truly,3
2024,trunk,3
2025,trust,2
2026,trustworthy,1
2027,try,47
2028,tub,2
2029,tube,2
2030,tuck,1
2031,tune,10
2032,turn,5
2033,turnoff,1
2034,twice,2
2035,twin,2
2036,two,35
2037,type,6
2038,u,6
2039,ugh,1
2040,ugly,1
2041,ulm,1
2042,un,1
2043,unclear,1
2044,under,6
2045,understand,32
2046,unfortun,22
2047,union,1
2048,unique,3
2049,unit,47
2050,univers,4
2051,unknown,1
2052,unless,5
2053,unload,1
2054,unmask,1
2055,unseat,1
2056,until,32
2057,up,6
2058,update,8
2059,upgrade,13
2060,upon,29
2061,upper,1
2062,upset,1
2063,upstairs,3
2064,urethra,1
2065,us,11
2066,usage,2
2067,use,174
2068,used,1
2069,useless,1
2070,user,2
2071,usual,5
2072,utility,4
2073,vacant,2
2074,valid,1
2075,valley,2
2076,value,21
2077,valve,3
2078,van,1
2079,vanity,4
2080,variety,1
2081,vasili,2
2082,ve,1
2083,vehicle,26
2084,veil,2
2085,velvet,1
2086,venter,1
2087,verify,1
2088,version,2
2089,victim,1
2090,video,1
2091,view,9
2092,visit,2
2093,vital,11
2094,w,2
2095,wait,6
2096,waivedbut,1
2097,walk,7
2098,wall,3
2099,wallet,1
2100,walnut,2
2101,wan,4
2102,want,129
2103,war,4
2104,wardrobe,3
2105,warehouse,1
2106,warrant,34
2107,was,1
2108,wascal,1
2109,wash,2
2110,washed,7
2111,washerdry,4
2112,wast,1
2113,waste,1
2114,watch,5
2115,water,9
2116,waterproof,3
2117,waterstain,1
2118,way,52
2119,wayward,1
2120,wear,25
2121,weary,1
2122,web,1
2123,week,15
2124,weekend,6
2125,weight,2
2126,weird,3
2127,welcome,4
2128,well,322
2129,wellknown,1
2130,went,8
2131,were,4
2132,weren,1
2133,west,4
2134,westbury,1
2135,whale,1
2136,what,24
2137,whatsoever,1
2138,wheel,7
2139,wheels,2
2140,when,5
2141,where,2
2142,which,2
2143,whistle,1
2144,white,8
2145,whoa,1
2146,whole,10
2147,wide,1
2148,wife,24
2149,wig,1
2150,wild,1
2151,will,662
2152,willing,1
2153,win,1
2154,window,3
2155,wipe,2
2156,wire,1
2157,wise,1
2158,wish,4
2159,wit,1
2160,with,1
2161,within,15
2162,without,16
2163,wobbly,1
2164,women,1
2165,wonder,67
2166,wont,19
2167,wood,16
2168,wooded,1
2169,wooden,2
2170,woods,1
2171,word,5
2172,work,200
2173,workbag,1
2174,world,1
2175,worry,4
2176,worst,3
2177,worth,30
2178,worthier,1
2179,worthless,2
2180,would,1258
2181,wouldn,9
2182,wrangled,1
2183,wrap,1
2184,wreck,2
2185,writeoff,1
2186,wrong,9
2187,x,1
2188,yard,6
2189,yardwork,1
2190,ye,257
2191,yea,7
2192,yeah,47
2193,year,119
2194,yell,1
2195,yep,4
2196,yesterday,1
2197,you,50
2198,young,1
2199,your,41
2200,youth,1
2201,zero,1
2202,zone,1
